"Data","Otwarcie","Najwyzszy","Najnizszy","Zamkniecie","Wolumen","Stopy_zwrotu_1d","Stopy_zwrotu_5d"
"2000-01-03","6961.72","7159.33","6720.87","6750.76","","",""
"2000-01-04","6747.24","6755.36","6510.46","6586.95","","-1.0668301594121",""
"2000-01-05","6585.85","6585.85","6388.91","6502.07","","-0.56327261121842",""
"2000-01-06","6501.45","6539.31","6402.63","6474.92","","-0.18172337942046",""
"2000-01-07","6489.94","6791.53","6470.14","6780.96","","2.0056775618379",""
"2000-01-10","6785.47","6975.26","6785.47","6925.52","","0.91612052565762","1.1099719374446"
"2000-01-11","6926.04","6943.83","6821.26","6891.25","","-0.21543823072229",""
"2000-01-12","6878.92","6913.5","6783.22","6912.81","","0.13566148862789",""
"2000-01-13","6913.13","7106.45","6898.69","6955.98","","0.27037042649881",""
"2000-01-14","6960.29","7207.45","6960.29","7173.22","","1.3355826051974",""
"2000-01-17","7177.48","7297.04","7112.97","7258.9","","0.51566628297811","2.0418425725799"
"2000-01-18","7262.21","7306.48","7053.86","7072.12","","-1.1321192327594",""
"2000-01-19","7065.31","7110.19","6987.12","7091.04","","0.11603140097736",""
"2000-01-20","7095.98","7230.75","7076.81","7112.66","","0.13221138084086",""
"2000-01-21","7103.7","7103.7","6939.94","6992.75","","-0.73840470914861",""
"2000-01-24","6987.59","7092.5","6921.97","6931.99","","-0.37900743847767","-2.0012885985674"
"2000-01-25","6928.08","6928.08","6809.64","6809.64","","-0.77337745273397",""
"2000-01-26","6838.05","6980.93","6838.05","6969.37","","1.006936857854",""
"2000-01-27","6983.42","7169.87","6944.65","7126.13","","0.96602192143699",""
"2000-01-28","7128.01","7214.58","7040.49","7066.6","","-0.36432317282344",""
"2000-01-31","7054.24","7054.24","6816.54","6835.6","","-1.4433867965878","-0.60812864285429"
"2000-02-01","6841.12","7052.22","6841.12","7050.46","","1.3440811905759",""
"2000-02-02","7063.57","7172.05","7038.71","7171.95","","0.74198001593782",""
"2000-02-03","7175.87","7354.56","7134.42","7354.26","","1.0901726531995",""
"2000-02-04","7355.69","7491.79","7338.15","7444.61","","0.53029716415637",""
"2000-02-07","7450.79","7450.79","7270.4","7296.32","","-0.87380784385819","2.8327231800114"
"2000-02-08","7295.61","7570.55","7263.19","7549.88","","1.4836175974335",""
"2000-02-09","7566.68","7676.56","7526.08","7629.11","","0.45338279165618",""
"2000-02-10","7617.07","7709.27","7496.42","7709.27","","0.45393793366265",""
"2000-02-11","7724.36","7812.09","7586.26","7611.55","","-0.55401515442443",""
"2000-02-14","7569.01","7660.39","7542.3","7644.8","","0.18930234802601","2.0262255163539"
