"Data","Otwarcie","Najwyzszy","Najnizszy","Zamkniecie","Wolumen","Stopy_zwrotu_1d","Stopy_zwrotu_5d"
"2000-01-04","18937.45","19187.61","18937.45","19002.86","","",""
"2000-01-05","19003.51","19003.51","18221.82","18542.55","","-1.0649510020684",""
"2000-01-06","18574.01","18582.74","18168.27","18168.27","","-0.88558834188552",""
"2000-01-07","18194.05","18285.73","18068.1","18193.41","","0.060053138439886",""
"2000-01-11","18246.1","18887.56","18246.1","18850.92","","1.5418443633676",""
"2000-01-12","18780.17","18811.87","18626.92","18677.42","","-0.40156654653269","-0.7502083886792"
"2000-01-13","18667.18","18845.03","18667.18","18833.29","","0.3609308942287",""
"2000-01-14","18882.99","19058.02","18733.83","18956.55","","0.28331068708936",""
"2000-01-17","19025.62","19442.58","19025.62","19437.23","","1.0875072977526",""
"2000-01-18","19412.47","19412.47","19145.17","19196.57","","-0.54107368124235",""
"2000-01-19","19181.87","19181.87","18897.75","18897.75","","-0.68135375015027","0.50932144767804"
"2000-01-20","18930.26","19167.03","18921.11","19008.01","","0.25265524094002",""
"2000-01-21","18994.89","18994.89","18713.17","18878.09","","-0.29785995530294",""
"2000-01-24","18878.46","19124.57","18877.13","19056.71","","0.40898728164959",""
"2000-01-25","19004.39","19131.19","18815.37","18895.53","","-0.3688847111119",""
"2000-01-26","18982.84","19145.9","18982.84","19111.19","","0.49286522585177","0.48776308202655"
"2000-01-27","19125.62","19238.08","18971.68","19209.72","","0.22333044595802",""
"2000-01-28","19261.01","19595.83","19237.49","19434.78","","0.50585941684524",""
"2000-01-31","19375.11","19539.7","19224.47","19539.7","","0.23382627357115",""
"2000-02-01","19536.68","19553.68","19266.96","19423.38","","-0.25930847466218",""
"2000-02-02","19522.33","19860.26","19522.33","19578.91","","0.34637032240273","1.050077984115"
"2000-02-03","19648.35","19878.83","19648.35","19786.42","","0.45787134362055",""
"2000-02-04","19866.19","20011.91","19752.12","19763.13","","-0.051149606772894",""
"2000-02-07","19832.76","19948.6","19780.56","19945.43","","0.39876762233876",""
"2000-02-08","19955.3","19983.44","19834.81","19868.88","","-0.16700168133253",""
"2000-02-09","19930.41","20046.14","19925.64","20007.77","","0.30252994927308","0.94101762712697"
"2000-02-10","19915.53","19915.56","19710.02","19710.02","","-0.65116213405397",""
"2000-02-14","19698.57","19748.42","19556.46","19556.46","","-0.33968209334897",""
"2000-02-15","19587.82","19689.16","19331.05","19367.83","","-0.42092795742547",""
"2000-02-16","19418.56","19612.6","19300.14","19599.18","","0.51569370574905",""
"2000-02-17","19646.37","19803.69","19518.08","19791.4","","0.42386148137642","-0.47221699770294"
"2000-02-18","19852.18","19862.94","19670.05","19789.03","","-0.0052009436145189",""
"2000-02-21","19736.15","19763.51","19549.95","19587.36","","-0.44486015085241",""
"2000-02-22","19553.62","19712.37","19353.4","19390.58","","-0.43851057399519",""
"2000-02-23","19439.17","19527.79","19373.04","19519.55","","0.28790016610288",""
"2000-02-24","19616.26","19698.95","19558.04","19571.44","","0.11529794411497","-0.48537355824427"
"2000-02-25","19623.38","19817.88","19539","19817.88","","0.54344136252679",""
